Category,Merchant Name,Address,City
Patio de comida,STARBUCKS - SUECIA,SUECIA 137,Providencia
Restaurantes,STARBUCKS COFFEE CUARTO CENTENARIO,CUARTO CENTENARIO 973,Las Condes
Patio de comida,STARBUCKS COFFEE MALL PLAZA ALAMEDA,LIBERTADOR BERNARDO OHIGGINS 3470 MALL PLAZA ALAMEDA,Santiago
Patio de comida,STARBUCKS COMPAÑIA,COMPAÑIA 1093,Santiago
Patio de comida,STARBUCKS COSTANERA,"ANDRÉS BELLO 2777 LOCAL 1A, EDIFICIO LAS INDUSTRIAS",Las Condes
Patio de comida,STARBUCKS INTERAMERICANA,AGUSTINAS 640 LOCAL 7,Santiago
Patio de comida,STARBUCKS ISIDORA,SAN SEBASTIÁN 2946,Las Condes
Patio de comida,STARBUCKS MERCED,MERCED 615 LOCAL 101 A,Santiago
Patio de comida,STARBUCKS PROVIDENCIA 2102,PROVIDENCIA 2102 LOCAL 7,Providencia
Restaurantes,TAVELLI - FRANQUICIA,MANUEL MONTT 1806,Providencia
Patio de comida,BUFFET EXPRESS ALTO LAS CONDES,PRESIDENTE KENNEDY 9001 LOCAL 3508,Las Condes
Patio de comida,TACO BELL BERNARDO OHIGGINS,LIBERTADOR BERNARDO OHIGGINS 648 Y 650 LOCAL 6 Y D,Santiago
Restaurantes,HOTEL LIBERTADOR,LIBERTADOR BERNARDO O HIGGINS 853,Santiago
Patio de comida,PIZZA PIZZA CUMMING 281,CUMMING 281 281,Santiago
Restaurantes,FORTUNATA TOBALABA,TOBALABA 1015,Providencia
Restaurantes,EL RINCON FAMILIAR,PEDRO DE VALDIVIA 61 LOCAL 23,Providencia
Restaurantes,FUENTE DE SODA LUANA,ESTADOS UNIDOS 224,Santiago
Restaurantes,MONKEY DOG,ESCANDINAVIA 18 LOCAL 19,Las Condes
Restaurantes,BOCADILLO,COMPAÑIA 1068 LOCAL 367,Santiago
Restaurantes,PERU GUSTOSO,PEDRO DE VALDIVIA 139,Providencia
Restaurantes,BADAJOZ 72,BADAJOZ 72,Las Condes
Restaurantes,RESTAURANT 5 ARCOS,PHILLIPS 445,Santiago
Restaurantes,PARDESHI TADKA,HOLANDA 67 LOCAL 103,Providencia
Restaurantes,LOS PANDITAS,SAZIE 1915 LOCAL A,Santiago
Restaurantes,XIN QING FUNG,SAZIE 2161,Santiago
Restaurantes,PASTA PAZZA,LOS CONQUISTADORES 2248,Providencia
Restaurantes,CANDELARIA DELIVERY,APOQUINDO 3417 LOCAL 7,Las Condes
Restaurantes,SINATRA S,VITACURA 2740 B,Las Condes
Minimarket,EVERO,NATANIEL COX 116,Santiago
